file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_score,class_name
image_1735391097326_android.graphics.Bitmap@eb477ed.jpeg,219.10222,305.5631,0.6916126,220.34665,297.95084,0.830925,214.57104,301.5382,0.7024819,230.4214,292.877,0.64749587,217.04819,300.00555,0.4883136,243.70326,306.663,0.7010877,227.31583,316.10226,0.56595516,256.94046,322.46707,0.73380977,232.56544,330.97427,0.2169466,239.93654,294.78915,0.5198431,225.93822,321.3876,0.12262553,242.84702,376.27448,0.7479908,233.52507,376.11703,0.7359082,225.15858,432.2458,0.5231067,222.58936,428.12323,0.6021614,236.83846,494.74567,0.7551754,229.2649,475.1329,0.5804175,1.0,squat_up
image_1735391097507_android.graphics.Bitmap@367fe70.jpeg,215.90753,302.9723,0.674708,217.48726,296.66327,0.6995213,213.23106,298.98193,0.8004046,228.74811,291.62695,0.5931333,219.83072,295.84857,0.5127237,240.20393,305.5212,0.6737231,227.02304,313.99292,0.61602044,256.08014,321.76013,0.7197209,230.8966,335.25812,0.32201907,241.0,296.01715,0.5986204,219.04794,360.51605,0.49685666,240.74893,374.83725,0.76337266,233.53679,374.60626,0.6992361,221.45447,431.51965,0.74638903,221.70659,426.4173,0.57647955,236.57312,495.86612,0.7639264,231.15543,475.036,0.68467563,1.0,squat_up
image_1735391097825_android.graphics.Bitmap@b154d0f.jpeg,214.49162,302.7409,0.51307577,215.29985,296.7719,0.56783926,213.45181,298.15332,0.52764434,226.29112,291.27975,0.7498065,222.41318,293.24823,0.38577658,238.86743,305.61407,0.5801891,231.00546,310.15805,0.3722259,249.6551,320.16815,0.65629613,243.28876,323.9238,0.29034412,234.48251,294.57327,0.35626376,222.09149,362.633,0.24294522,240.34712,376.0866,0.77221,234.75626,375.42987,0.7395041,222.6116,432.01904,0.48060814,220.6335,426.11725,0.68928266,236.55623,496.18207,0.6334137,230.94608,473.28992,0.49799767,1.0,squat_up
image_1735391098106_android.graphics.Bitmap@1fda77a.jpeg,213.97055,301.22668,0.653595,215.22324,295.58722,0.55777574,213.14008,297.0881,0.7250359,226.36977,290.72144,0.7220501,222.69038,293.53802,0.49458176,238.77731,304.82947,0.62482584,233.22498,307.44476,0.58599854,249.15305,321.05292,0.724751,246.74577,321.17114,0.31516865,231.94386,296.84735,0.42466572,231.41208,298.64886,0.28206652,240.44034,376.38306,0.813041,236.44803,375.37665,0.6444116,222.5271,432.09915,0.53072953,222.39691,425.62665,0.49749163,236.75269,496.03842,0.58632326,231.18605,473.84064,0.54607975,1.0,squat_up
image_1735391098385_android.graphics.Bitmap@ceb2921.jpeg,209.60716,303.48117,0.57637787,210.24982,297.87744,0.6203888,208.90344,298.45377,0.58289075,221.1489,292.68723,0.74778557,218.59373,294.7008,0.45789248,234.4352,305.92874,0.7083372,230.47705,307.75302,0.6640221,247.87593,320.3201,0.74294317,246.58669,320.84958,0.37654433,230.61665,296.94553,0.60494936,229.26399,297.2193,0.32170656,241.47716,376.97507,0.7792767,238.16624,375.763,0.7048845,222.92632,432.9379,0.71365356,221.23485,426.2183,0.5711224,236.44867,495.24652,0.6499737,231.9217,473.5562,0.5656408,1.0,squat_up
image_1735391098665_android.graphics.Bitmap@997834.jpeg,203.13696,314.9131,0.4413853,202.56754,309.1821,0.5704069,201.89029,310.04312,0.68699145,211.3151,302.5941,0.77706295,210.544,304.484,0.64431,228.60788,311.515,0.7139877,226.91899,313.28482,0.5077176,241.3971,330.23337,0.68732727,237.93178,331.25525,0.37628952,219.27008,312.29022,0.49134448,219.37973,311.08966,0.39199334,245.40443,378.22516,0.8527949,241.16919,377.07062,0.7961389,219.25371,431.04718,0.60762835,218.89026,424.60608,0.58699584,236.29568,494.11334,0.7708727,230.98824,469.4959,0.44390443,1.0,squat_up
image_1735391098901_android.graphics.Bitmap@93054a3.jpeg,190.4628,341.43933,0.59422827,189.77084,336.68582,0.73346436,189.43701,337.07184,0.7119987,198.47058,328.92657,0.5724255,197.44147,331.07,0.6984848,215.83112,337.79694,0.6219448,216.09695,338.68973,0.6150248,232.46992,359.18637,0.6328448,231.49448,359.1421,0.46952772,209.64825,338.37674,0.52681446,209.19174,337.48074,0.37124726,248.97711,391.9347,0.8494838,246.24278,389.46924,0.6850271,210.17244,433.81033,0.6562213,208.43275,431.25885,0.7606398,232.61758,493.9867,0.74907386,227.10136,473.50162,0.43656507,1.0,squat_up
image_1735391099263_android.graphics.Bitmap@7eeb31e.jpeg,181.76337,380.26477,0.6783353,179.99402,375.04208,0.63935214,179.59848,375.42444,0.70531106,189.28448,366.36218,0.54478204,186.94125,367.37866,0.65383786,207.43542,373.221,0.6472995,208.68951,371.5506,0.7046496,223.06699,400.19257,0.7741472,223.6865,395.77216,0.3974189,201.48296,377.86298,0.730362,217.76117,377.18842,0.12617509,250.56802,422.3641,0.63410556,248.44998,417.46286,0.57496214,199.89822,441.0658,0.682284,201.33429,434.89697,0.5211682,230.93442,494.12888,0.82493085,224.69424,472.62436,0.36561856,1.0,squat_up
image_1735391099631_android.graphics.Bitmap@3f8d415.jpeg,180.72632,399.09296,0.7028382,178.19084,394.31946,0.81394476,177.99432,394.6402,0.7677621,185.28334,384.98273,0.58283114,184.93112,385.43787,0.763541,208.92746,384.69824,0.8292496,206.92911,385.54694,0.7792986,226.22218,415.09766,0.87906075,222.41124,411.89417,0.5147427,199.0243,393.71545,0.848438,198.16492,394.0285,0.3777589,253.18018,428.46225,0.8076583,245.4681,423.06433,0.6159322,204.63051,444.00732,0.7460301,198.55083,428.78574,0.8129072,231.84229,494.8628,0.86671364,224.01184,467.8482,0.5793673,0.9999951,squat_up
image_1735391099949_android.graphics.Bitmap@ff286b8.jpeg,180.91748,400.52805,0.7926047,179.23602,395.56046,0.6014935,178.73001,395.49927,0.8360608,186.56732,385.34296,0.67303765,185.36626,385.7472,0.73595107,209.79922,385.72485,0.8404738,207.11488,386.43893,0.81473714,225.08092,416.39243,0.87000674,219.86151,411.5458,0.3175762,198.89133,396.34778,0.8301282,198.34505,396.39243,0.44355673,255.2312,430.8012,0.6655623,246.30093,426.14706,0.5539527,207.3014,443.00653,0.7914667,200.08421,430.1676,0.8010102,231.68411,495.04706,0.87669975,224.60226,466.91855,0.6888207,0.9999951,squat_up
image_1735391100281_android.graphics.Bitmap@4487f7.jpeg,182.85512,380.59546,0.6230136,181.59128,375.9361,0.77662915,181.28006,375.89114,0.71556586,191.625,367.71875,0.8264801,190.59595,368.08347,0.67611027,213.7719,373.31824,0.8763337,211.24084,372.22824,0.802551,231.55984,397.8184,0.8278,228.56331,393.0656,0.30008036,210.44272,380.5299,0.45744008,216.50055,378.034,0.14768139,254.93639,419.76282,0.734679,243.43579,414.81372,0.64554274,209.50806,439.60553,0.8449613,201.88419,424.82892,0.7804896,232.44899,494.80103,0.89660025,223.57077,463.7439,0.736473,1.0,squat_up
image_1735391100554_android.graphics.Bitmap@eecad82.jpeg,197.1499,326.65814,0.5111717,198.42667,323.83905,0.4322355,197.42078,324.39755,0.5738634,210.08969,321.57837,0.2696342,209.05826,323.50244,0.4118874,224.19426,324.66046,0.6525576,218.31357,328.2399,0.54099965,239.49136,339.9779,0.6858516,222.66858,337.75522,0.11140948,224.12277,327.3323,0.33746064,215.54553,328.39807,0.45529768,249.60254,384.43915,0.8633238,242.40213,384.87723,0.81353843,217.46637,434.64032,0.8149557,214.61032,430.97345,0.64617217,232.1635,493.9463,0.6499803,224.99896,475.12018,0.5129653,1.0,squat_up
image_1735391100844_android.graphics.Bitmap@c404cc9.jpeg,210.26627,301.12964,0.70472443,209.90506,295.04193,0.66840625,208.8168,296.26154,0.6357161,219.72006,288.92603,0.7801625,216.66144,290.1374,0.42235634,231.60446,299.47787,0.60900056,229.57668,303.01544,0.36513722,244.6221,312.569,0.75567555,243.11992,313.10065,0.47618702,230.30809,288.5172,0.55991054,230.86844,286.32782,0.353367,239.07716,371.3504,0.80718124,235.321,370.32394,0.77572936,231.94058,429.66278,0.6447032,229.73224,424.8825,0.5651209,232.24509,494.08783,0.7929631,228.29391,469.72906,0.40430832,1.0,squat_up
image_1735391101131_android.graphics.Bitmap@7030dfc.jpeg,214.20949,300.49234,0.57878685,215.05875,293.51004,0.7305777,211.91664,295.8988,0.5997845,225.3462,288.11005,0.6567201,218.22784,292.364,0.38293913,238.33592,302.52188,0.6258523,231.1031,305.58783,0.40941155,245.4381,312.6112,0.65490866,243.41418,315.27332,0.2876913,231.74579,286.18567,0.4708825,230.87169,286.32242,0.25183988,235.44415,369.88483,0.7058199,231.69142,369.72455,0.6811271,231.11069,432.5542,0.7814181,229.91873,428.2917,0.5486673,232.95161,494.17014,0.79081666,230.4578,468.84412,0.3107579,1.0,squat_up
image_1735391101432_android.graphics.Bitmap@e7e1b0b.jpeg,212.92975,299.7761,0.6008247,213.7048,293.1704,0.6650485,211.12766,294.98828,0.54509985,224.28497,287.1012,0.6150341,218.61327,291.44528,0.48834985,236.86073,301.2891,0.6472604,231.4127,305.852,0.40428177,243.95628,312.27374,0.6953562,240.51953,316.76602,0.27800885,232.37967,286.60803,0.50606346,224.13446,318.3239,0.11194604,236.28282,369.00006,0.6846709,232.4456,368.92126,0.6431669,230.79102,431.34558,0.74265623,229.36067,427.98645,0.52138263,233.03122,495.40475,0.7095195,229.51767,468.09872,0.28059956,1.0,squat_up
image_1735391101892_android.graphics.Bitmap@6685aa6.jpeg,211.6403,300.49475,0.64783084,211.9176,294.1201,0.69217956,209.7284,295.5067,0.5491877,221.91702,288.2288,0.5963032,216.95558,291.99615,0.49381182,236.05806,302.19305,0.5770024,230.95145,305.40747,0.46740022,244.77707,311.03064,0.5634403,243.36287,314.36398,0.44840413,230.01785,287.13416,0.57359123,229.39546,286.75806,0.2850064,236.80154,369.955,0.8064708,232.28574,369.1243,0.56480765,229.22986,433.2967,0.7754752,227.90947,429.1261,0.60887504,232.29987,495.44757,0.80864143,228.48993,471.11627,0.31323636,1.0,squat_up
image_1735391102121_android.graphics.Bitmap@46c273d.jpeg,204.33362,309.19446,0.49688837,203.83322,302.70523,0.6680615,203.28174,303.81128,0.6462615,213.94582,296.28198,0.76822406,212.0381,298.07678,0.5671911,228.10251,305.82654,0.7015203,226.33817,308.84378,0.5585948,242.16208,318.77124,0.71949005,240.23727,319.32037,0.4675079,223.84819,295.12076,0.38775846,224.2535,295.71567,0.43857047,244.06358,372.8685,0.7689228,240.22772,372.12726,0.76095116,223.66756,430.0532,0.6770746,222.55884,426.68854,0.57573426,233.4313,496.2853,0.7909999,227.99942,472.35333,0.44153273,1.0,squat_up
image_1735391102395_android.graphics.Bitmap@d15b200.jpeg,190.53569,344.88953,0.5503619,190.19238,339.90335,0.6010984,189.43631,340.6213,0.61950034,199.65482,329.8932,0.5159228,199.93822,332.99457,0.70546746,217.99023,338.06296,0.63110006,216.27332,337.04242,0.71357495,232.83676,354.419,0.55300343,229.05644,351.8127,0.3286019,215.4064,340.08917,0.41328365,223.51575,348.2976,0.20708235,251.37177,392.98138,0.7676515,245.97858,390.64423,0.6225796,211.26225,432.17188,0.62005854,208.16295,429.13025,0.69816303,230.92787,492.1953,0.69721866,227.4049,479.44473,0.3906511,1.0,squat_up
image_1735391102638_android.graphics.Bitmap@1301df.jpeg,185.30882,379.58496,0.56707615,184.16785,374.36774,0.6778443,183.65134,374.7511,0.72693753,192.49622,365.93848,0.7505977,190.89268,367.88828,0.6891329,212.96635,371.2323,0.8176574,212.45726,370.99902,0.5586659,228.22131,398.88107,0.8152129,227.38293,395.30066,0.4770833,205.24315,377.50372,0.55333966,223.51788,377.51526,0.11955647,255.34912,419.9968,0.6038307,252.28435,415.95715,0.6275128,204.27779,438.8289,0.7259106,205.60022,434.27057,0.50143385,230.97612,493.63345,0.79945666,228.04778,471.92102,0.57301486,0.9999999,squat_up
image_1735391102849_android.graphics.Bitmap@3b73e8a.jpeg,185.60712,399.0161,0.73141766,183.90253,393.50385,0.82454634,183.59705,394.1676,0.714327,189.9017,383.25296,0.79663014,188.86078,384.5438,0.76096404,211.648,385.24484,0.82356626,210.964,387.11133,0.80765665,220.25496,417.76456,0.9044847,220.91852,414.94913,0.5409729,198.52057,395.76804,0.8327503,199.71468,396.16345,0.3452087,254.82498,431.4404,0.571186,252.30789,427.81595,0.6775218,203.48032,439.60046,0.5138073,201.91286,432.57642,0.5263559,232.30563,494.41785,0.80523103,227.75827,472.2242,0.7179893,0.9999987,squat_up
image_1735391103037_android.graphics.Bitmap@2e2b771.jpeg,187.3526,399.3553,0.68903875,185.10603,394.5277,0.61297536,184.5446,395.0728,0.65932715,189.47792,383.9269,0.72841114,188.90823,385.79764,0.78831726,213.70345,385.7388,0.806453,213.41547,387.09882,0.7542188,218.76532,417.6474,0.75108486,221.41919,415.3023,0.34991696,195.82706,395.14056,0.80353564,197.00615,396.08926,0.29154512,257.7367,434.34326,0.7712878,256.495,430.9121,0.71754843,205.81677,439.90503,0.40973297,205.05508,435.34488,0.6137928,231.78992,494.74194,0.6963469,228.31938,472.28442,0.6662681,1.0,squat_up
image_1735391103251_android.graphics.Bitmap@233d6c4.jpeg,187.93239,398.0165,0.7404491,186.08676,392.5224,0.77608997,185.54774,393.72385,0.81828624,191.37369,381.731,0.8840886,190.19281,383.1921,0.6898401,211.94829,384.7085,0.70468765,213.006,385.80185,0.8472327,217.84634,417.27127,0.9072808,219.76503,415.02234,0.5388117,196.33923,393.50024,0.8802225,196.88683,394.21558,0.2987781,258.40384,432.00104,0.74495924,255.50972,426.76544,0.5697495,206.07585,436.02063,0.71492743,207.23087,434.091,0.4546821,231.57468,493.76984,0.7837864,227.9831,472.21826,0.55737257,1.0,squat_up
image_1735391103474_android.graphics.Bitmap@516f073.jpeg,189.85526,396.93668,0.5766587,188.1814,391.70465,0.72030497,187.7077,392.9944,0.7518193,193.20023,380.33234,0.6854845,192.2723,382.7462,0.635133,213.06107,383.74036,0.73452055,214.09686,385.54938,0.686155,217.90999,415.4455,0.8482498,219.80728,413.63077,0.41804528,196.83755,392.4116,0.8204971,198.76181,393.25424,0.33259448,258.33057,430.82352,0.77447003,257.09207,426.70465,0.7048614,207.32361,435.92728,0.5526222,208.42111,433.78494,0.49823895,231.87894,494.61426,0.7996588,228.56967,471.3742,0.75954634,1.0,squat_up
image_1735391103698_android.graphics.Bitmap@f79d2e.jpeg,189.59358,370.02502,0.45616207,188.46098,365.58856,0.57874095,188.15791,365.8195,0.53372234,196.12811,359.10306,0.6766925,195.5843,359.8402,0.56830174,213.2652,364.848,0.6671824,217.8528,364.59952,0.6996341,221.93187,390.26648,0.8608058,224.44246,388.3766,0.43143806,202.33847,371.4432,0.6778564,204.57513,370.17963,0.3339422,257.87506,413.4165,0.64352816,254.94003,410.59802,0.5537227,210.06169,432.63422,0.7189132,211.4244,426.79706,0.41786584,232.13162,492.89453,0.859857,225.99724,464.21497,0.52306294,1.0,squat_up
image_1735391103922_android.graphics.Bitmap@cfa1165.jpeg,194.27672,335.60178,0.70414877,194.67201,330.4366,0.6776378,194.08192,330.9741,0.7647998,204.20615,324.9832,0.6408423,203.21234,326.1526,0.5408201,216.3456,332.30746,0.62082386,218.12769,333.2078,0.6352898,228.1965,350.43036,0.682284,227.62976,349.57117,0.34485117,211.09337,332.48398,0.5826376,212.2131,332.22574,0.35641187,255.57326,390.31586,0.76989806,248.78716,389.38678,0.7762983,215.95514,431.60385,0.60245484,213.52255,421.3293,0.69286776,232.94702,493.1377,0.8460702,226.9734,467.94678,0.8000481,1.0,squat_up
image_1735391104131_android.graphics.Bitmap@6e9a048.jpeg,201.45328,304.02716,0.5580643,202.27509,297.9336,0.71751004,200.75345,298.68472,0.5841044,212.84283,292.82468,0.5863677,209.88461,294.69336,0.62401795,223.25024,305.92352,0.5156024,222.84845,307.5623,0.61906266,235.17056,322.36163,0.65972584,234.55978,322.0197,0.5135261,218.7211,299.4822,0.59689105,218.8684,299.65778,0.4578745,244.36731,371.35883,0.83887464,240.83363,370.53296,0.766459,227.82776,429.14313,0.7917844,224.24991,423.22766,0.66274613,232.3536,492.1742,0.7403039,228.96161,470.99924,0.68826413,1.0,squat_up
image_1735391104340_android.graphics.Bitmap@f0f5ac7.jpeg,209.05107,296.61768,0.703961,211.14218,290.93042,0.67738396,207.08072,292.64743,0.5737777,220.26163,288.68176,0.49037862,211.51294,292.1982,0.5171019,229.27689,302.4907,0.650985,225.44867,303.67612,0.51395804,235.71548,318.58997,0.5518224,234.69089,319.0884,0.47433323,223.31635,291.80017,0.338959,223.12875,291.96326,0.2590445,235.50139,369.82742,0.7731172,232.11224,369.26102,0.64979595,222.93336,430.0271,0.7359879,223.32211,425.47583,0.4589948,232.24802,492.73978,0.6939696,230.08733,473.8569,0.5664357,1.0,squat_up
image_1735391104556_android.graphics.Bitmap@6b47a92.jpeg,208.48955,291.68936,0.61016655,211.48161,287.45123,0.56581044,206.90773,287.93768,0.6271359,220.74908,285.38724,0.4990387,213.47511,286.895,0.34013644,231.68492,297.23453,0.7072658,220.80159,304.88135,0.46637818,233.64757,319.02713,0.4094123,225.16609,326.6249,0.32203677,214.73706,300.52972,0.42385274,206.98724,318.55872,0.34936297,231.17574,369.15543,0.77742624,225.02113,368.38837,0.65974087,221.08063,429.1142,0.70433843,219.96022,424.97546,0.5448744,232.19214,492.34482,0.5901123,226.80893,472.67566,0.60860753,1.0,squat_up
image_1735391104766_android.graphics.Bitmap@7ec0919.jpeg,213.7584,292.19366,0.60275924,217.77399,286.86932,0.76742625,211.09808,288.82617,0.7677146,228.2121,286.73584,0.57532847,214.05264,290.47882,0.51691246,230.94548,300.26297,0.6478812,227.16617,303.8105,0.6203799,228.9413,330.90753,0.5215232,229.39247,332.7726,0.53266346,201.55765,339.8587,0.6793684,201.18936,341.47504,0.5089602,225.72325,366.49115,0.7976293,223.44984,365.62482,0.7563686,222.87027,429.66733,0.6826989,220.11804,423.35684,0.62043446,232.71428,494.86804,0.57696617,226.60194,471.1068,0.53532004,1.0,squat_up
image_1735391104976_android.graphics.Bitmap@8c9f28c.jpeg,217.20311,291.07376,0.7316938,220.98575,284.95752,0.67145383,213.90547,287.47137,0.49331242,231.46658,284.5507,0.702432,215.52505,288.93713,0.52377856,232.07129,300.93915,0.6928804,228.39914,303.23358,0.52044684,228.98807,334.424,0.4936834,227.44644,336.8177,0.47920838,213.69067,362.58008,0.56964135,212.79585,361.6985,0.54982084,225.18451,365.69824,0.7171281,223.923,366.42688,0.64327264,223.37401,426.99908,0.5367056,221.64648,423.94217,0.4645743,232.6258,492.8863,0.7156073,228.93513,473.3074,0.59739363,1.0,deadlift_up
